1;Wash;Machine Wash (Normal);Garment may be laundered through the use of hottest available water, detergent or soap, agitation, and a machine designed for this purpose.;washNormal;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
2;Wash;Machine Wash (Cold);Initial water temperature should not exceed 30C or 65 to 85F.;washCold;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
3;Wash;Machine Wash (Warm);Initial water temperature should not exceed 40C or 105F.;washWarm;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
4;Wash;Machine Wash (Hot);Initial water temperature should not exceed 50C or 120F.;washHot50;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
5;Wash;Machine Wash (Hot);Initial water temperature should not exceed 60C or 140F.;washHot60;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
6;Wash;Machine Wash (Hot);Initial water temperature should not exceed 70C or 160F.;washHot70;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
7;Wash;Machine Wash (Hot);Initial water temperature should not exceed 95C or 200F.;washHot95;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL WASH PROCEDURES.
8;Wash;Machine Wash (Permanent Press);Garment may be machine laundered only on the setting designed to preserve Permanent Press with cool down or cold rinse prior to reduced spin.;washPermanent;.
9;Wash;Machine Wash (Gentle or Delicate);Garment may be machine laundered only on the setting designed for gentle agitation and/or reduced time for delicate items.;washGentle;.
10;Wash;Hand Wash;Garment may be laundered through the use of water, detergent or soap and gentle hand manipulation.;washHand;.
11;Wash;Do not Wash;Garment may not be safely laundered by any process. Normally accompanied by Dry Clean instructions.;washNo;.
12;Bleach;Bleach When Needed;Any commercially available bleach product may be used in the laundering process.;bleachNeeded;All (98+%) washable textiles are safe in some type of bleach. IF BLEACH IS NOT MENTIONED OR REPRESENTED BY A SYMBOL, ANY BLEACH MAY BE USED.
